"2MASSID		",Epoch(JD),RV(prim),RV(sec),Residuals
03444495+3213364,2456675.565,15.3748,14.8495,0.5283
03444495+3213364,2456703.590(f),-3.0122,36.9808,0.4695
03444508+3214130,2456170.899,36.7815,-9.8282,0.9587
03444508+3214130,2456174.926,15.7629,15.7192,0.5575
03444508+3214130,2456282.621,-5.8443,48.0023,1.4918
03444508+3214130,2456283.624(f),4.7349,28.2222,1.893
03445561+3209198,2456168.941,-24.2691,60.6113,0.3264
03445561+3209198,2456172.974,86.2429,-63.6819,0.2379
03445561+3209198,2456235.774,84.9692,-61.6568,0.1638
03445561+3209198,2456262.683,-58.9097,98.439,0.2523
05352860-0455036,2456629.829,-7.2276,73.6412,0.8589
05352860-0455036,2456630.795(f),20.1021,45.6422,1.5487
05352860-0455036,2456635.791,62.0553,-2.0915,0.652
05352860-0455036,2456636.786,-14.0499,77.0694,1.7555
03443979+3218041,2456168.941,5.9473,31.7283,0.7758
03443979+3218041,2456171.976(f),26.9734,8.0619,0.0583
03443979+3218041,2456172.974,4.7983,30.6818,0.7783
03443979+3218041,2456262.683(f),14.236,21.593,0.0558
03444770+3219117,2456170.899(f),41.133,-21.8827,0.3513
03444770+3219117,2456174.926,15.6719,15.0022,1.2053
03444770+3219117,2456235.774(f),38.2549,-15.2822,0.8949
03444770+3219117,2456262.683(f),3.7514,36.3754,0.6617
03512664+2504369,2455847.869(f),-69.3496,-43.2138,0.0057
03512664+2504369,2455851.863(f),-70.7796,-41.699,0.0174
03512664+2504369,2455854.888(f),-71.4253,-40.9567,0.0117
03444173+3212022,2456171.976,15.6506,15.4447,0.2445
03444173+3212022,2456675.565,64.0293,-36.5207,0.1237
03444173+3212022,2456703.590(f),-34.9068,68.6557,0.1208
03445064+3219067,2456168.941,-17.4917,51.1222,1.302
03445064+3219067,2456172.974,-63.8164,97.7568,0.9434
03445064+3219067,2456282.621,94.0591,-71.5666,0.3586
03250916+3126099,2456236.727,-75.9503,-0.5494,0.2736
03250916+3126099,2456315.639,-65.8146,-14.3994,0.3199
03250916+3126099,2456561.814,-0.9945,-96.2405,0.0463
03433710+2338322,2455847.869(f),-10.3354,12.915,0.2136
03433710+2338322,2455851.863(f),-10.7416,12.722,0.2152
03433710+2338322,2455854.888,14.6944,-14.2792,0.0015
03441396+2532155,2455847.869,-6.7428,24.0297,0.0006
03441396+2532155,2455851.863(f),21.0439,-8.0233,0.084
03441396+2532155,2455854.888(f),21.0315,-8.2651,0.0834
03510274+2325420,2455847.869,12.5969,-80.4643,7.2171
03510274+2325420,2455851.863,-24.4416,20.8636,2.1917
03510274+2325420,2455854.888,-12.2281,-56.8607,9.4088
03454440+2413132,2455847.869(f),12.5673,-16.9779,1.817
03454440+2413132,2455854.888(f),-1.2824,29.4683,1.817
03505403+2309119,2455847.869,-24.4004,53.6062,1.817
03505403+2309119,2455854.888,-13.3917,-42.6822,1.817
03435812+3213568,2456282.621(f),54.7104,77.1925,1.817
03435812+3213568,2456283.624,37.8643,54.5006,1.817
03441776+3204476,2456171.976,5.0239,44.1186,1.817
03441776+3204476,2456262.683(f),37.0506,3.4121,1.817
05345563-0601036,2456607.863,42.0599,8.9261,1.817
05345563-0601036,2456626.816(f),9.4166,43.6558,1.817
05350326-0449209,2456606.884,-9.3096,73.1913,1.817
05350326-0449209,2456607.863(f),49.1734,6.128,1.817
05350392-0529033,2456607.863,-17.9841,102.1036,1.817
05350392-0529033,2456636.786,66.8632,-50.6863,1.817
05352989-0512103,2456635.791(f),-4.2939,78.0615,1.817
05352989-0512103,2456636.786,62.582,-4.9125,1.817
05351077-0651557,2456652.770(f),124.4841,94.4011,1.817
05351077-0651557,2456653.78,114.8064,77.0575,1.817
05351580-0646291,2456652.770(f),49.53,0.7795,1.817
05351580-0646291,2456653.78,1.309,51.7027,1.817
05432464-0813275,2456587.922,19.8452,69.1773,1.817
05432464-0813275,2456674.676,45.9501,27.2738,1.817
03443444+3206250,2456168.941,10.5651,39.5582,1.817
03443444+3206250,2456172.974,28.8791,17.2057,1.817
05345249-0449404,2456635.791,76.4915,-8.3128,1.817
05345249-0449404,2456636.786,55.1444,19.9686,1.817
05364717-0522500,2456635.791(f),45.3736,17.3068,1.817
05364717-0522500,2456636.786,24.1994,45.8593,1.817
05382589-0659519,2456653.78,8.0787,-22.994,1.817
05382589-0659519,2456654.767(f),-15.6628,5.909,1.817
05412451-0856320,2456587.922,33.9343,6.1586,1.817
05412451-0856320,2456674.676,20.2598,43.5197,1.817
05422393-0809459,2456674.676,-8.1062,51.7608,1.817
05420151-0756153,2456587.922,38.1251,4.8588,1.817
05413338-0759562,2456587.922,56.1322,-10.2651,1.817
05413037-0912268,2456674.676,35.4109,-23.3605,1.817
05411524-0752111,2456587.922,34.7243,-27.4003,1.817
05405530-0813169,2456674.676,-13.1183,30.6742,1.817
05402047-0911572,2456674.676,-41.5023,104.0778,1.817
05380160-0722218,2456668.7,-20.2067,11.48,1.817
05371161-0723239,2456668.7,113.2506,43.7387,1.817
05370100-0735469,2456668.7,7.3977,48.8167,1.817
05361723-0617245,2456654.767,34.5122,12.146,1.817
05354337-0622195,2456654.767,44.5019,10.6282,1.817
05352992-0644151,2456654.767,6.3004,78.4857,1.817
05351798-0604430,2456654.767,4.0904,53.7925,1.817
05342626-0646093,2456654.767,-30.5311,73.0314,1.817
05354463-0450098,2456670.676,14.4934,50.5253,1.817
05354311-0424556,2456666.692,5.9459,56.7849,1.817
05353002-0434276,2456672.675,58.3462,8.6836,1.817
05351755-0453037,2456672.675,51.3738,10.3046,1.817
05351561-0524030,2456670.676,48.2439,-11.3093,1.817
05351236-0543184,2456666.692,-20.6985,66.2832,1.817
05351214-0531388,2456666.692,2.0291,65.7054,1.817
05351121-0517209,2456666.692,52.2637,0.2961,1.817
05350138-0615175,2456666.692,50.1071,-7.109,1.817
05342767-0537192,2456670.676,56.9487,-1.0323,1.817
05331624-0613195,2456671.68,35.8667,-5.5506,1.817
05324407-0529523,2456666.692,2.418,48.2115,1.817
05360185-0517365,2456606.884,40.6143,-1.5347,1.817
05355408-0528327,2456628.82,60.3007,-5.9615,1.817
05353645-0421304,2456626.816,54.5502,9.2628,1.817
05353154-0540278,2456628.82,76.4325,-38.5352,1.817
05352813-0523064,2456628.82,43.8771,-7.9513,1.817
05351554-0525140,2456626.816,10.2513,93.0951,1.817
05351113-0536511,2456628.82,68.7968,-5.7502,1.817
05345220-0440117,2456626.816,58.5097,-11.8924,1.817
05343087-0425070,2456626.816,-67.0392,48.9533,1.817
05340693-0439303,2456628.82,45.2951,-5.5526,1.817
03292204+3124153,2456671.555,-42.568,77.5679,1.817
05365078-0459334,2456672.675,40.3719,13.2395,1.817
05363704-0504412,2456671.68,64.3684,29.3666,1.817
05352349-0520016,2456670.676,41.9715,-1.5936,1.817
05350463-0509557,2456670.676,23.9881,30.6646,1.817
05350200-0520550,2456671.68,42.3328,29.9075,1.817
05344823-0447401,2456671.68,20.1355,49.4059,1.817
05343903-0455288,2456672.675,13.6647,64.17,1.817
05335130-0451477,2456670.676,83.1688,104.3977,1.817
05354261-0526083,2456606.884,44.3859,-4.813,1.817
05352147-0557421,2456626.816,26.897,-19.5017,1.817
05351352-0527286,2456606.884,18.0074,47.6237,1.817
05345431-0454129,2456628.82,-9.9246,96.6712,1.817
05344556-0529209,2456606.884,14.6025,38.5718,1.817
05341347-0423539,2456626.816,38.2104,56.5204,1.817
